company_normalized,member_key,target_key,display_label,timestamp,note
ctec_i_gmbh_plochingen,erträge aus ertragsteuern,aufwendungen (-) / erträge aus ertragsteuern,Aufwendungen (-) / Erträge aus Ertragsteuern,2026-06-28T08:49:14,merged via overview ctx
ctec_i_gmbh_plochingen,aufwendungen (-) aus ertragsteuern,aufwendungen (-) / erträge aus ertragsteuern,Aufwendungen (-) / Erträge aus Ertragsteuern,2026-06-28T08:49:28,merged via overview ctx
ctec_i_gmbh_plochingen,erträge aus der neubewertung der pensionsrückstellungen,ergebnis aus der neubewertung der pensionsrückstellungen,Ergebnis aus der Neubewertung der Pensionsrückstellungen,2026-06-28T08:49:53,merged via overview ctx
ctec_i_gmbh_plochingen,gewinn aus cashflow-hedges,ergebnis aus cashflow-hedges,Ergebnis aus Cashflow-Hedges,2026-06-28T08:50:06,merged via overview ctx
ctec_i_gmbh,aufwendungen (-) aus ertragsteuern,aufwendungen (-) / erträge aus ertragsteuern,Aufwendungen (-) / Erträge aus Ertragsteuern,2026-06-28T11:20:03,merged via overview ctx
ctec_i_gmbh,erträge aus ertragsteuern,aufwendungen (-) / erträge aus ertragsteuern,Aufwendungen (-) / Erträge aus Ertragsteuern,2026-06-28T11:20:03,merged via overview ctx
ctec_i_gmbh,gewinn aus cashflow-hedges,ergebnis aus cashflow-hedges,Ergebnis aus Cashflow-Hedges,2026-06-28T11:20:31,merged via overview ctx
ctec_i_gmbh,erträge aus der neubewertung der pensionsrückstellungen,ergebnis aus der neubewertung der pensionsrückstellungen,Ergebnis aus der Neubewertung der Pensionsrückstellungen,2026-06-28T11:20:40,merged via overview ctx
