raw_label,normalized_key,match_type,candidates,doc_label,heading,page_start,row
"- davon für Altersversorgung: € 257.054,39 (Vorjahr: € 1.411.423,05)",davonfueraltersversorgung25705439vorjahr141142305,none,,,KONZERN-GEWINN- UND VERLUSTRECHNUNG für das Geschäftsjahr vom 1. Mai 2023 bis 30. April 2024,3,14
A. Segmente,segmente,none,,,Die Umsatzerlöse setzen sich im Geschäftsjahr 2023/2024 im Vorjahresvergleich wie folgt zusammen:,10,4
1. Hemden,hemden,none,,,Die Umsatzerlöse setzen sich im Geschäftsjahr 2023/2024 im Vorjahresvergleich wie folgt zusammen:,10,5
2. Blusen,blusen,none,,,Die Umsatzerlöse setzen sich im Geschäftsjahr 2023/2024 im Vorjahresvergleich wie folgt zusammen:,10,6
3. Lizenzerlöse,lizenzerloese,none,,,Die Umsatzerlöse setzen sich im Geschäftsjahr 2023/2024 im Vorjahresvergleich wie folgt zusammen:,10,7
4. Sonstige Umsatzerlöse Bekleidung,sonstigeumsatzerloesebekleidung,none,,,Die Umsatzerlöse setzen sich im Geschäftsjahr 2023/2024 im Vorjahresvergleich wie folgt zusammen:,10,8
5. Übrige sonstige Umsatzerlöse,uebrigesonstigeumsatzerloese,none,,,Die Umsatzerlöse setzen sich im Geschäftsjahr 2023/2024 im Vorjahresvergleich wie folgt zusammen:,10,9
6. Bruttoumsatzerlöse,bruttoumsatzerloese,none,,,Die Umsatzerlöse setzen sich im Geschäftsjahr 2023/2024 im Vorjahresvergleich wie folgt zusammen:,10,10
7. Erlösschmälerungen,erloesschmaelerungen,none,,,Die Umsatzerlöse setzen sich im Geschäftsjahr 2023/2024 im Vorjahresvergleich wie folgt zusammen:,10,11
8. Nettoumsatzerlöse,nettoumsatzerloese,none,,,Die Umsatzerlöse setzen sich im Geschäftsjahr 2023/2024 im Vorjahresvergleich wie folgt zusammen:,10,12
B. Absatzmärkte,absatzmaerkte,none,,,Gesamt Gesamt Veränderung,10,4
1. Umsatzerlöse Inland,umsatzerloeseinland,none,,,Gesamt Gesamt Veränderung,10,5
2. Umsatzerlöse Europa,umsatzerloeseeuropa,none,,,Gesamt Gesamt Veränderung,10,6
3. Umsatzerlöse übriges Ausland,umsatzerloeseuebrigesausland,none,,,Gesamt Gesamt Veränderung,10,7
Abschreibungen auf Anlagevermögen,abschreibungenaufanlagevermoegen,none,,,KONZERN-KAPITALFLUSSRECHNUNG für das Geschäftsjahr vom 1. Mai 2023 bis 30. April 2024,16,4
Abnahme (-) / Zunahme (+) Rückstellungen (vor Aufzinsung und Steuern),abnahmezunahmerueckstellungenvoraufzinsungundsteuern,none,,,KONZERN-KAPITALFLUSSRECHNUNG für das Geschäftsjahr vom 1. Mai 2023 bis 30. April 2024,16,5
"Abnahme (+) / Zunahme (-) der Vorräte, der Forderungen aus Lieferungen und Leistungen
sowie anderer Aktiva (ohne Forderungen aus Steuern), die nicht der Investitions- oder Finan-
zierungstätigkeit zuzuordnen sind",abnahmezunahmedervorraetederforderungenauslieferungenundleistungensowieandereraktivaohneforderungenaussteuerndienichtderinvestitionsoderfinanzierungstaetigkeitzuzuordnensind,none,,,KONZERN-KAPITALFLUSSRECHNUNG für das Geschäftsjahr vom 1. Mai 2023 bis 30. April 2024,16,6
"Zunahme (+) / Abnahme (-) der Verbindlichkeiten aus Lieferungen und Leistungen sowie an-
derer Passiva, die nicht der Investitions- oder Finanzierungstätigkeit zuzuordnen sind",zunahmeabnahmederverbindlichkeitenauslieferungenundleistungensowieandererpassivadienichtderinvestitionsoderfinanzierungstaetigkeitzuzuordnensind,none,,,KONZERN-KAPITALFLUSSRECHNUNG für das Geschäftsjahr vom 1. Mai 2023 bis 30. April 2024,16,7
"Verlust (+) / Gewinn (-) aus Anlagenabgängen (i. Vj. inkl. Abgang aus dem Konsolidierungs-
kreis)",verlustgewinnausanlagenabgaengenivjinklabgangausdemkonsolidierungskreis,none,,,KONZERN-KAPITALFLUSSRECHNUNG für das Geschäftsjahr vom 1. Mai 2023 bis 30. April 2024,16,8
Gewinn (-) / Verlust (+) aus Beteiligungen an assoz. Unternehmen,gewinnverlustausbeteiligungenanassozunternehmen,none,,,KONZERN-KAPITALFLUSSRECHNUNG für das Geschäftsjahr vom 1. Mai 2023 bis 30. April 2024,16,9
Zinsaufwendungen (+) / Zinserträge (-),zinsaufwendungenzinsertraege,none,,,KONZERN-KAPITALFLUSSRECHNUNG für das Geschäftsjahr vom 1. Mai 2023 bis 30. April 2024,16,11
Ertragsteueraufwand,ertragsteueraufwand,none,,,KONZERN-KAPITALFLUSSRECHNUNG für das Geschäftsjahr vom 1. Mai 2023 bis 30. April 2024,16,12
Ertragsteuerzahlungen,ertragsteuerzahlungen,none,,,KONZERN-KAPITALFLUSSRECHNUNG für das Geschäftsjahr vom 1. Mai 2023 bis 30. April 2024,16,13
Cashflow aus laufender Geschäftstätigkeit,cashflowauslaufendergeschaeftstaetigkeit,none,,,KONZERN-KAPITALFLUSSRECHNUNG für das Geschäftsjahr vom 1. Mai 2023 bis 30. April 2024,16,14
"Einzahlungen aus Abgängen von Gegenständen des immateriellen Anlagevermögens / Sach-
anlagevermögens",einzahlungenausabgaengenvongegenstaendendesimmateriellenanlagevermoegenssachanlagevermoegens,none,,,KONZERN-KAPITALFLUSSRECHNUNG für das Geschäftsjahr vom 1. Mai 2023 bis 30. April 2024,16,15
Auszahlungen für Investitionen in das immaterielle Anlagevermögen / Sachanlagevermögen,auszahlungenfuerinvestitionenindasimmaterielleanlagevermoegensachanlagevermoegen,none,,,KONZERN-KAPITALFLUSSRECHNUNG für das Geschäftsjahr vom 1. Mai 2023 bis 30. April 2024,16,16
