raw_label,normalized_key,match_type,candidates,doc_label,heading,page_start,row
Wertminderungen (-) / Wertaufholungen,wertminderungenwertaufholungen,unsupported_framework,,,3.5 Allgemeine Verwaltungskosten,32,3
Wertminderungen auf Sachanlagen,wertminderungenaufsachanlagen,unsupported_framework,,,3.5 Allgemeine Verwaltungskosten,32,5
Zuführung zur Wertberichtigung auf Forderungen,zufuehrungzurwertberichtigungaufforderungen,unsupported_framework,,,3.5 Allgemeine Verwaltungskosten,32,6
Währungsergebnis,waehrungsergebnis,unsupported_framework,,,3.5 Allgemeine Verwaltungskosten,32,7
Erträge aus Auflösung von Wertberichtigungen auf Forderungen,ertraegeausaufloesungvonwertberichtigungenaufforderungen,unsupported_framework,,,3.5 Allgemeine Verwaltungskosten,32,8
Verlust (-) / Gewinn (+) aus dem Abgang von Sachanlagevermögen,verlustgewinnausdemabgangvonsachanlagevermoegen,unsupported_framework,,,3.5 Allgemeine Verwaltungskosten,32,9
Übrige sonstige Erträge,uebrigesonstigeertraege,unsupported_framework,,,3.5 Allgemeine Verwaltungskosten,32,10
Übrige sonstige Aufwendungen,uebrigesonstigeaufwendungen,unsupported_framework,,,3.5 Allgemeine Verwaltungskosten,32,11
Steuerertrag (-) / Steueraufwand,steuerertragsteueraufwand,unsupported_framework,,,Konzern-Kapitalflussrechnung für das Geschäftsjahr vom 1. Januar bis 31. Dezember 2025,14,3
Zinsergebnis (ohne Zeitwertveränderung Derivate),zinsergebnisohnezeitwertveraenderungderivate,unsupported_framework,,,Konzern-Kapitalflussrechnung für das Geschäftsjahr vom 1. Januar bis 31. Dezember 2025,14,4
Abschreibungen und Wertminderungen auf l angfristige Vermögenswerte,abschreibungenundwertminderungenauflangfristigevermoegenswerte,unsupported_framework,,,Konzern-Kapitalflussrechnung für das Geschäftsjahr vom 1. Januar bis 31. Dezember 2025,14,5
Verluste / Gewinne (-) aus Abgang Sachanlagen und immaterieller Vermögensgegenstände,verlustegewinneausabgangsachanlagenundimmateriellervermoegensgegenstaende,unsupported_framework,,,Konzern-Kapitalflussrechnung für das Geschäftsjahr vom 1. Januar bis 31. Dezember 2025,14,6
Zunahme / Abnahme (-) der Rückstellungen (ohne latente Steuern),zunahmeabnahmederrueckstellungenohnelatentesteuern,unsupported_framework,,,Konzern-Kapitalflussrechnung für das Geschäftsjahr vom 1. Januar bis 31. Dezember 2025,14,7
Ertragsteuerzahlung,ertragsteuerzahlung,unsupported_framework,,,Konzern-Kapitalflussrechnung für das Geschäftsjahr vom 1. Januar bis 31. Dezember 2025,14,8
Sonstige zahlungsunwirksame Aufwendungen,sonstigezahlungsunwirksameaufwendungen,unsupported_framework,,,Konzern-Kapitalflussrechnung für das Geschäftsjahr vom 1. Januar bis 31. Dezember 2025,14,9
Zunahme der Vorräte,zunahmedervorraete,unsupported_framework,,,Konzern-Kapitalflussrechnung für das Geschäftsjahr vom 1. Januar bis 31. Dezember 2025,14,10
Abnahme der Forderungen aus Lieferungen und Leistungen,abnahmederforderungenauslieferungenundleistungen,unsupported_framework,,,Konzern-Kapitalflussrechnung für das Geschäftsjahr vom 1. Januar bis 31. Dezember 2025,14,11
Abnahme / Zunahme (-) der sonstigen Forderungen und (finanziellen) Vermögenswerte,abnahmezunahmedersonstigenforderungenundfinanziellenvermoegenswerte,unsupported_framework,,,Konzern-Kapitalflussrechnung für das Geschäftsjahr vom 1. Januar bis 31. Dezember 2025,14,12
Abnahme der Verbindlichkeiten aus Lieferungen und Leistungen,abnahmederverbindlichkeitenauslieferungenundleistungen,unsupported_framework,,,Konzern-Kapitalflussrechnung für das Geschäftsjahr vom 1. Januar bis 31. Dezember 2025,14,13
Zunahme / Abnahme (-) der sonstigen (finanziellen),zunahmeabnahmedersonstigenfinanziellen,unsupported_framework,,,Konzern-Kapitalflussrechnung für das Geschäftsjahr vom 1. Januar bis 31. Dezember 2025,14,14
Cashflow aus betrieblicher Tätigkeit,cashflowausbetrieblichertaetigkeit,unsupported_framework,,,Konzern-Kapitalflussrechnung für das Geschäftsjahr vom 1. Januar bis 31. Dezember 2025,14,16
Einzahlungen aus Abgängen von Sachanlagen,einzahlungenausabgaengenvonsachanlagen,unsupported_framework,,,Konzern-Kapitalflussrechnung für das Geschäftsjahr vom 1. Januar bis 31. Dezember 2025,14,17
Auszahlungen (-) für Investitionen in Sachanlagen,auszahlungenfuerinvestitioneninsachanlagen,unsupported_framework,,,Konzern-Kapitalflussrechnung für das Geschäftsjahr vom 1. Januar bis 31. Dezember 2025,14,18
Einzahlungen aus Zuschüssen,einzahlungenauszuschuessen,unsupported_framework,,,Konzern-Kapitalflussrechnung für das Geschäftsjahr vom 1. Januar bis 31. Dezember 2025,14,19
Auszahlungen (-) für Investitionen in immaterielle Vermögenswerte,auszahlungenfuerinvestitioneninimmateriellevermoegenswerte,unsupported_framework,,,Konzern-Kapitalflussrechnung für das Geschäftsjahr vom 1. Januar bis 31. Dezember 2025,14,20
An Gesellschafter gewährtes Darlehen,angesellschaftergewaehrtesdarlehen,unsupported_framework,,,Konzern-Kapitalflussrechnung für das Geschäftsjahr vom 1. Januar bis 31. Dezember 2025,14,23
"Realisierte Gewinne (+) aus / Prämienkosten (-) für Derivate, netto",realisiertegewinneauspraemienkostenfuerderivatenetto,unsupported_framework,,,Konzern-Kapitalflussrechnung für das Geschäftsjahr vom 1. Januar bis 31. Dezember 2025,14,24
Tilgungsanteil von Leasingzahlungen,tilgungsanteilvonleasingzahlungen,unsupported_framework,,,Konzern-Kapitalflussrechnung für das Geschäftsjahr vom 1. Januar bis 31. Dezember 2025,14,25
Zahlungswirksame Veränderung des Finanzmittelfonds,zahlungswirksameveraenderungdesfinanzmittelfonds,unsupported_framework,,,Konzern-Kapitalflussrechnung für das Geschäftsjahr vom 1. Januar bis 31. Dezember 2025,14,27
Währungseffekte,waehrungseffekte,unsupported_framework,,,Konzern-Kapitalflussrechnung für das Geschäftsjahr vom 1. Januar bis 31. Dezember 2025,14,28
Finanzielle Vermögenswerte,finanziellevermoegenswerte,unsupported_framework,,,4.14 Finanzinstrumente,57,3
Abgespaltene Kündigungsrechte,abgespaltenekuendigungsrechte,unsupported_framework,,,4.14 Finanzinstrumente,57,6
Devisentermingeschäfte,devisentermingeschaefte,unsupported_framework,,,4.14 Finanzinstrumente,57,7
Finanzforderungen gegen,finanzforderungengegen,unsupported_framework,,,4.14 Finanzinstrumente,57,8
verbundene Unternehmen,verbundeneunternehmen,unsupported_framework,,,4.14 Finanzinstrumente,57,9
Finanzielle Verbindlichkeiten,finanzielleverbindlichkeiten,unsupported_framework,,,4.14 Finanzinstrumente,57,13
Verbindlichkeiten gegenüber Kreditinstituten,verbindlichkeitengegenueberkreditinstituten,unsupported_framework,,,4.14 Finanzinstrumente,57,14
Anleiheverbindlichkeiten,anleiheverbindlichkeiten,unsupported_framework,,,4.14 Finanzinstrumente,57,15
Verbindlichkeiten aus Leasing,verbindlichkeitenausleasing,unsupported_framework,,,4.14 Finanzinstrumente,57,17
Verbindlichkeiten aus Reverse Factoring,verbindlichkeitenausreversefactoring,unsupported_framework,,,4.14 Finanzinstrumente,57,18
Zinscap,zinscap,unsupported_framework,,,4.14 Finanzinstrumente,57,19
Sonstige finanzielle Verbindlichkeiten,sonstigefinanzielleverbindlichkeiten,unsupported_framework,,,4.14 Finanzinstrumente,57,21
Abgespaltene Kündigungsrechte - FVtPL,abgespaltenekuendigungsrechtefvtpl,unsupported_framework,,,Stufe 1 31. Dezember 2024 Stufe 2 Stufe 3,60,6
Zinsbegrenzungsverein- barungen - FVtPL,zinsbegrenzungsvereinbarungenfvtpl,unsupported_framework,,,Stufe 1 31. Dezember 2024 Stufe 2 Stufe 3,60,10
Anleiheverbindlichkeiten (Nennwert),anleiheverbindlichkeitennennwert,unsupported_framework,,,Kapitalmanagement,68,2
Verbindlichkeiten gegenüber Kreditinstituten (Nennwert),verbindlichkeitengegenueberkreditinstitutennennwert,unsupported_framework,,,Kapitalmanagement,68,3
abgegrenzte Zinsen,abgegrenztezinsen,unsupported_framework,,,Kapitalmanagement,68,4
Bruttoschulden,bruttoschulden,unsupported_framework,,,Kapitalmanagement,68,5
Nettoschulden,nettoschulden,unsupported_framework,,,Kapitalmanagement,68,7
nicht in Anspruch genommene revolvierende Kreditlinie,nichtinanspruchgenommenerevolvierendekreditlinie,unsupported_framework,,,Kapitalmanagement,68,8
